x,y1,y2,y3,y4
-20.0,-20.212906,-20.11866,2.557151,-1.0894876
-19.9,-19.717009,-19.520884,3.474714,0.0065262862
-19.8,-20.131475,-19.3067,2.939339,0.9869138
-19.7,-19.584759,-19.631954,3.0966852,-0.70445985
-19.6,-19.79953,-19.95986,2.708688,1.1151707
-19.5,-19.177906,-19.08351,2.7991574,-0.020787649
-19.4,-19.727394,-19.496372,3.055312,-0.32534957
-19.3,-19.553831,-19.17072,2.6206462,1.0045563
-19.2,-19.416327,-19.43482,3.2311583,-0.71195364
-19.1,-18.973513,-19.24209,3.4468713,0.020086102
-19.0,-19.216965,-18.64754,3.4264495,0.44909963
-18.9,-19.367086,-18.850183,3.1861315,-0.6945053
-18.8,-18.594328,-18.443863,3.3679159,1.3496139
-18.7,-18.653957,-18.98116,3.2156854,-0.972741
-18.6,-18.833769,-19.042751,3.0746272,0.4220055
-18.5,-18.478905,-18.31007,3.0465894,-0.10972542
-18.4,-18.740883,-18.67879,3.0952625,-0.8280254
-18.3,-17.87642,-18.332577,2.917905,0.797978
-18.2,-18.640995,-17.71113,2.5417247,-1.1618472
-18.1,-17.703712,-18.114395,2.6389797,0.7573409
-18.0,-18.42204,-18.380722,3.0229354,-0.16067831
-17.9,-17.564764,-18.086946,2.69799,-0.114521265
-17.8,-17.806232,-17.42206,2.4550557,0.29070577
-17.7,-17.80404,-17.213604,3.0072281,-0.89511395
-17.6,-17.181145,-17.618858,3.2924051,1.3495755
-17.5,-17.254204,-17.113804,2.6665568,-0.92941797
-17.4,-17.38877,-17.197544,3.2185693,1.2355714
-17.3,-17.320726,-17.245958,2.7829728,-0.29805055
-17.2,-17.4901,-17.446722,3.2582974,0.7309787
-17.1,-17.192955,-16.886509,2.5082242,-0.24796051
-17.0,-16.688513,-16.768595,3.2000334,-0.20067838
-16.9,-17.0394,-17.139988,2.9359632,0.24896371
-16.8,-16.768812,-16.865383,2.7024639,-0.21075729
-16.7,-17.10979,-16.391165,2.579326,0.38534293
-16.6,-16.559477,-16.110245,2.8634639,-1.2579689
-16.5,-16.692764,-16.111109,2.4211068,1.2562869
-16.4,-16.71564,-16.46929,2.5700085,-1.204399
-16.3,-16.209883,-16.199833,2.4920988,1.1148084
-16.2,-15.994557,-16.239197,3.0371907,-0.88213307
-16.1,-15.908593,-16.5058,3.134023,1.2921692
-16.0,-15.853831,-16.33211,3.158345,-0.8885397
-15.9,-16.367544,-16.157125,2.9947138,1.1372126
-15.8,-15.580985,-16.167349,2.4105227,-1.0721239
-15.7,-15.74478,-15.234624,2.2999966,1.3738765
-15.6,-15.475429,-15.128842,2.4539092,-0.7915348
-15.5,-15.678968,-15.919653,3.136195,0.7559023
-15.4,-15.415614,-14.985857,2.2416766,-0.63489944
-15.3,-15.032381,-15.644602,2.9731226,1.1685232
-15.2,-15.086937,-15.034373,2.3948057,-1.468017
-15.1,-14.78293,-15.1996565,2.4579105,1.1313757
-15.0,-14.544915,-15.270456,3.1594548,-1.0097004
-14.9,-15.014416,-14.935133,3.0737484,0.40139237
-14.8,-14.912926,-14.838565,2.533498,-1.1854554
